dataset,model,accuracy,precision,recall,f1,roc_auc,cv_f1_score,best_params
heart,Decision Tree,0.9805194805194806,0.9812687312687313,0.9805194805194806,0.9805219448483206,0.9810126582278481,0.9670345321007572,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}"
heart,Logistic Regression,0.8181818181818182,0.8241714015151514,0.8181818181818182,0.8169047333408154,0.9256962025316455,0.8589453020875508,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}"
heart,MLP,0.9318181818181818,0.9318479006967638,0.9318181818181818,0.9318232155441458,0.9638396624472574,0.8834156557258519,"{'classifier__alpha': 0.001, 'classifier__hidden_layer_sizes': (150, 100, 50), 'classifier__learning_rate': 'constant'}"
heart,Random Forest,0.9902597402597403,0.9904507257448434,0.9902597402597403,0.9902612808063097,0.999240506329114,0.9740458692231841,"{'classifier__max_depth': 15, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
heart,XGBoost,0.9805194805194806,0.9805194805194806,0.9805194805194806,0.9805194805194806,0.9955696202531645,0.9740938900602766,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}"
diabetes,Decision Tree,0.7142857142857143,0.7035404325664693,0.7142857142857143,0.7030935613682092,0.7832098765432098,0.6050008638934222,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}"
diabetes,Logistic Regression,0.7402597402597403,0.7323747680890539,0.7402597402597403,0.7313771134525852,0.8372839506172839,0.6554881725988283,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}"
diabetes,MLP,0.7402597402597403,0.7326721471299785,0.7402597402597403,0.7326031000385084,0.8308641975308642,0.6241165443351235,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (150, 100, 50), 'classifier__learning_rate': 'constant'}"
diabetes,Random Forest,0.7402597402597403,0.7331279932299226,0.7402597402597403,0.733765115930721,0.8201646090534979,0.6395848595848597,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}"
diabetes,XGBoost,0.7402597402597403,0.7337348641696467,0.7402597402597403,0.7348651348651348,0.831358024691358,0.6137318410534871,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 50, 'classifier__subsample': 0.8}"
adult,Decision Tree,0.8557682464940116,0.8516011183966958,0.8557682464940116,0.8530269187334006,0.9018916771913025,0.6679226766273041,"{'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}"
adult,Logistic Regression,0.8538233186610708,0.8478614228645142,0.8538233186610708,0.8490052846397171,0.9085110483454538,0.6566359567056503,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}"
adult,MLP,0.8603746545193981,0.8554492122064241,0.8603746545193981,0.8566521544108505,0.9149048219800257,0.6805949032371943,"{'classifier__alpha': 0.0001, 'classifier__hidden_layer_sizes': (100,), 'classifier__learning_rate': 'constant'}"
adult,Random Forest,0.8685638243423073,0.8635748812895627,0.8685638243423073,0.8637267852140674,0.9197713196104922,0.6812377257935782,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}"
adult,XGBoost,0.8752175248234211,0.8709070490290809,0.8752175248234211,0.8712107478101019,0.9310857617956175,0.7131049624532868,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}"
bank,Decision Tree,0.9189555555555555,0.9065318863956464,0.9189555555555555,0.9119807244945217,0.6756608654941367,0.2871732006480747,"{'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
bank,Logistic Regression,0.9338,0.9108426239841181,0.9338,0.9063688388416943,0.7069531497007536,0.08032813675762336,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}"
bank,MLP,0.9363555555555556,0.9195767190501173,0.9363555555555556,0.9207593905689825,0.8297980247884096,0.29115185953054795,"{'classifier__alpha': 0.01, 'classifier__hidden_layer_sizes': (50,), 'classifier__learning_rate': 'constant'}"
bank,Random Forest,0.9363333333333334,0.9195186943595128,0.9363333333333334,0.9206963996200638,0.8523035186476756,0.28413504683056406,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 50}"
bank,XGBoost,0.9368,0.920624122801457,0.9368,0.9217522089914839,0.8650010478819673,0.300553739587328,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}"
compas,Random Forest,0.9764434180138568,0.9774667448292687,0.9764434180138568,0.9764094587702122,0.9867805080646677,0.976825235644881,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 200}"
compas,XGBoost,0.9764434180138568,0.9773089624510702,0.9764434180138568,0.9764130773541708,0.9846829424201352,0.9770459605109325,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}"
german,Decision Tree,0.6866666666666666,0.6770454545454546,0.6866666666666666,0.68109439124487,0.6401587301587301,0.5272752186153118,"{'classifier__criterion': 'gini', 'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}"
