dataset,model,accuracy,precision,recall,f1,roc_auc,cv_f1_score,val_f1_score,train_f1,val_f1,overfitting_gap,is_overfitting,best_params
heart,Decision Tree,0.824390243902439,0.8300023355910714,0.824390243902439,0.8232690794649881,0.8677619047619047,0.8614015207757981,0.8189685181654227,0.8508428606654019,0.8189685181654227,0.031874342499979225,False,"{'classifier__min_samples_split': 50, 'classifier__min_samples_leaf': 5, 'classifier__max_features': None, 'classifier__max_depth': 3, 'classifier__criterion': 'entropy'}"
heart,Logistic Regression,0.824390243902439,0.8364878048780489,0.824390243902439,0.8222693531283138,0.8944761904761904,0.8641717996553148,0.8435145819348103,0.8534342969007092,0.8435145819348103,0.00991971496589883,False,"{'classifier__solver': 'saga', 'classifier__penalty': 'l2', 'classifier__l1_ratio': 0.7, 'classifier__C': 0.001}"
heart,Random Forest,0.926829268292683,0.9268873181877287,0.926829268292683,0.9268362354408376,0.9830476190476191,0.9176315455503783,0.9121825855608642,0.969109123494569,0.9121825855608642,0.056926537933704835,False,"{'classifier__oob_score': True, 'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': True}"
heart,XGBoost,0.9707317073170731,0.9707317073170731,0.9707317073170731,0.9707317073170731,0.9974285714285714,0.9633586791168758,0.956103829618292,0.9934964511549877,0.956103829618292,0.03739262153669576,False,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__colsample_bytree': 1.0}"
diabetes,Decision Tree,0.7272727272727273,0.7214837049742711,0.7272727272727273,0.7232230932973366,0.7674999999999998,0.6236700465739268,0.7722306056801803,0.7963946368570424,0.7722306056801803,0.024164031176862055,False,"{'classifier__min_samples_split': 50, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 7, 'classifier__criterion': 'gini'}"
diabetes,Logistic Regression,0.7207792207792207,0.7126414869534134,0.7207792207792207,0.7140992978313553,0.7942592592592593,0.6383435304630958,0.7865535824719498,0.7685087418992534,0.7865535824719498,-0.018044840572696397,False,"{'classifier__solver': 'liblinear', 'classifier__penalty': 'l2', 'classifier__l1_ratio': 0.5, 'classifier__C': 1.0}"
diabetes,Random Forest,0.7337662337662337,0.7263910401525081,0.7337662337662337,0.7273970049089666,0.8118518518518518,0.6414763796229312,0.7791497113820854,0.8432244848040116,0.7791497113820854,0.06407477342192613,False,"{'classifier__oob_score': True, 'classifier__n_estimators': 100, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 5, 'classifier__max_features': 'log2', 'classifier__max_depth': 5, 'classifier__bootstrap': True}"
diabetes,XGBoost,0.7532467532467533,0.7483459936290124,0.7532467532467533,0.7495827986975903,0.8224074074074074,0.6563555286273338,0.7568387094790126,0.8380889406780956,0.7568387094790126,0.08125023119908303,False,"{'classifier__subsample': 0.6, 'classifier__reg_lambda': 100, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__colsample_bytree': 1.0}"
adult,Decision Tree,0.7911868570551205,0.7816997946156669,0.7911868570551205,0.785296309233981,0.837203498689668,0.5349750591577305,0.7762162646429795,0.7894272812934745,0.7762162646429795,0.013211016650494956,False,"{'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 5, 'classifier__max_features': None, 'classifier__max_depth': 7, 'classifier__criterion': 'entropy'}"
adult,Logistic Regression,0.7686166129279902,0.7404561320710146,0.7686166129279902,0.7442764058593606,0.8245155253709168,0.38824109698440423,0.7430595387897125,0.7462645242712517,0.7430595387897125,0.0032049854815391354,False,"{'classifier__solver': 'saga', 'classifier__penalty': 'l1', 'classifier__l1_ratio': 0.1, 'classifier__C': 1.0}"
