dataset,model,status,error,timestamp
heart,mlp,FAILED,No results generated,2025-07-13T18:17:15.974788
heart,random_forest,FAILED,No results generated,2025-07-13T18:17:16.077234
heart,logistic_regression,FAILED,No results generated,2025-07-13T18:17:16.085836
heart,xgboost,FAILED,No results generated,2025-07-13T18:17:16.206010
heart,decision_tree,FAILED,No results generated,2025-07-13T18:17:16.218677
diabetes,mlp,FAILED,No results generated,2025-07-13T18:17:16.252902
diabetes,random_forest,FAILED,No results generated,2025-07-13T18:17:16.263944
diabetes,logistic_regression,FAILED,No results generated,2025-07-13T18:17:16.273823
diabetes,xgboost,FAILED,No results generated,2025-07-13T18:17:16.285130
diabetes,decision_tree,FAILED,No results generated,2025-07-13T18:17:16.294530
adult,mlp,FAILED,No results generated,2025-07-13T18:17:16.386801
adult,random_forest,FAILED,No results generated,2025-07-13T18:17:16.515719
adult,logistic_regression,FAILED,No results generated,2025-07-13T18:17:16.561191
adult,xgboost,FAILED,No results generated,2025-07-13T18:17:16.632064
adult,decision_tree,FAILED,No results generated,2025-07-13T18:17:16.704649
bank,mlp,FAILED,No results generated,2025-07-13T18:17:16.875145
bank,random_forest,FAILED,No results generated,2025-07-13T18:17:17.111583
bank,logistic_regression,FAILED,No results generated,2025-07-13T18:17:17.297408
bank,xgboost,FAILED,No results generated,2025-07-13T18:17:17.442353
bank,decision_tree,FAILED,No results generated,2025-07-13T18:17:17.593258
german,mlp,FAILED,No results generated,2025-07-13T18:17:17.645337
german,random_forest,FAILED,No results generated,2025-07-13T18:17:17.680413
german,logistic_regression,FAILED,No results generated,2025-07-13T18:17:17.700790
german,xgboost,FAILED,No results generated,2025-07-13T18:17:17.756002
german,decision_tree,FAILED,No results generated,2025-07-13T18:17:17.786386
