Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,0,0,1,proline > 650.679 and color_intensity > 4.593,0.98,100.0%,73.0%,0.15
1,0,0,2,flavanoids > 1.35 and alcohol > 13.347,0.9,100.0%,90.0%,0.12
2,2,2,1,flavanoids <= 1.574 and alcohol <= 13.187,0.88,100.0%,66.8%,0.15
3,0,0,1,color_intensity > 3.759,0.96,100.0%,75.8%,0.14
4,1,1,2,malic_acid <= 2.076 and nonflavanoid_phenols <= 0.375 and proline <= 643.234 and flavanoids > 0.709,0.87,100.0%,91.2%,0.13
5,0,0,1,alcohol > 13.547 and proline > 701.097 and od280/od315_of_diluted_wines > 2.33,0.98,100.0%,65.0%,0.15
6,1,1,0,N/A,0.98,0.0%,77.8%,0.10
7,2,2,0,flavanoids <= 1.05 and total_phenols <= 1.89 and proanthocyanins <= 1.521 and od280/od315_of_diluted_wines <= 2.678,1.0,100.0%,74.6%,0.11
8,1,1,0,N/A,0.95,100.0%,66.4%,0.11
9,2,2,0,hue <= 0.994,0.73,100.0%,78.6%,0.12
10,0,0,1,N/A,0.63,100.0%,75.4%,0.14
11,2,2,1,alcohol > 12.966,0.63,100.0%,64.4%,0.12
12,0,0,1,color_intensity > 3.372,0.81,100.0%,77.6%,0.13
13,1,1,2,flavanoids > 1.137 and hue <= 1.14 and nonflavanoid_phenols > 0.232,0.54,100.0%,90.2%,0.14
14,0,0,1,alcohol > 12.57 and proline > 1191.961,1.0,100.0%,61.6%,0.15
15,1,1,2,alcohol <= 12.897,0.95,100.0%,88.4%,0.12
16,1,1,0,color_intensity <= 3.522 and total_phenols <= 2.922 and proline <= 654.394,1.0,100.0%,80.4%,0.11
17,1,1,2,N/A,0.99,0.0%,88.0%,0.10
18,0,0,1,alcohol > 12.761 and malic_acid <= 1.784,0.98,100.0%,63.2%,0.12
19,1,1,2,flavanoids > 1.069,0.97,100.0%,87.4%,0.11
20,0,0,1,hue > 1.085 and proline > 1131.501 and flavanoids > 2.28,1.0,100.0%,49.6%,0.10
21,1,1,0,proline > 424.862,0.61,100.0%,77.4%,0.11
22,1,1,2,N/A,0.81,100.0%,86.6%,0.12
23,2,2,1,malic_acid > 2.884 and alcohol > 12.666,0.97,100.0%,77.8%,0.16
24,2,2,1,flavanoids <= 0.661,0.96,100.0%,66.8%,0.17
25,2,2,1,flavanoids <= 1.2,0.99,100.0%,68.4%,0.13
26,1,1,0,proline <= 843.089 and od280/od315_of_diluted_wines <= 3.073,0.99,100.0%,84.6%,0.12
27,1,1,0,alcohol <= 12.721 and proline > 674.439 and magnesium <= 125.146,0.68,100.0%,85.0%,0.13
28,1,1,0,N/A,1.0,0.0%,83.6%,0.10
29,0,0,1,malic_acid <= 3.64,0.97,100.0%,77.8%,0.14
30,0,0,1,alcohol > 12.404,0.98,100.0%,73.2%,0.13
31,1,1,0,proline <= 697.812 and malic_acid <= 2.611,0.99,99.9%,78.2%,0.11
32,2,2,0,proline <= 951.889 and hue <= 0.823,0.94,100.0%,83.4%,0.15
33,0,0,1,alcohol > 12.963,0.99,100.0%,68.0%,0.15
34,0,0,1,alcohol > 12.624,0.85,100.0%,78.4%,0.12
35,0,0,2,N/A,0.99,0.0%,85.0%,0.10
36,2,2,0,N/A,0.62,0.0%,79.4%,0.10
37,2,2,1,flavanoids <= 1.317,0.86,100.0%,69.4%,0.12
38,1,1,0,alcalinity_of_ash > 14.772 and od280/od315_of_diluted_wines <= 3.119,0.76,100.0%,80.4%,0.21
39,2,2,1,od280/od315_of_diluted_wines > 0.565,0.71,100.0%,60.6%,0.11
40,0,0,1,N/A,0.78,100.0%,77.2%,0.14
41,1,1,0,proline <= 780.542 and alcohol <= 13.097,0.98,100.0%,81.2%,0.13
42,1,1,2,ash <= 2.485 and total_phenols > 0.94,0.99,100.0%,83.6%,0.13
43,1,1,2,N/A,0.68,0.0%,94.6%,0.13
44,2,2,1,N/A,0.78,100.0%,70.6%,0.11
45,0,0,1,flavanoids > 1.851,0.99,100.0%,64.4%,0.12
46,1,1,0,ash <= 1.81 and nonflavanoid_phenols <= 0.384 and alcohol <= 13.104,0.9,100.0%,77.0%,0.12
47,1,1,0,alcohol <= 12.817 and proline <= 705.215 and malic_acid > 2.702,0.95,100.0%,83.8%,0.12
48,2,2,1,flavanoids <= 2.064,0.88,100.0%,75.4%,0.12
49,0,0,1,malic_acid <= 2.249 and proline > 888.362 and alcalinity_of_ash <= 19.719,0.98,100.0%,53.0%,0.11
50,1,1,0,alcohol <= 13.219 and proline <= 748.121,0.73,100.0%,81.0%,0.11
51,0,0,1,color_intensity > 3.397 and od280/od315_of_diluted_wines > 3.254,1.0,100.0%,83.4%,0.16
52,0,0,1,ash > 2.139,0.95,100.0%,70.0%,0.15
53,2,2,1,proline > 17.68,0.9,100.0%,70.6%,0.12
