Instance_ID,Actual_Class,Predicted_Class,Contrast_Class,Counterfactual_Rules,Prediction_Confidence,Confidence,Fidelity,Time_Taken(s)
0,1,1,2,petal width (cm) <= 1.6,0.9946675049075638,100.0%,99.8%,0.02
1,0,0,1,petal width (cm) <= 0.948 and sepal length (cm) <= 5.933,0.9969793698994008,100.0%,89.2%,0.02
2,2,2,1,petal width (cm) > 1.177 and petal length (cm) > 4.961,0.998103160024799,100.0%,73.0%,0.02
3,1,1,2,petal length (cm) > 3.25 and petal width (cm) <= 1.601,0.9930579656304624,100.0%,99.0%,0.02
4,1,1,2,petal width (cm) <= 1.595,0.9956704223869891,100.0%,99.8%,0.02
5,0,0,1,sepal width (cm) <= 3.472 and petal width (cm) <= 0.791,0.9969793698994008,100.0%,94.2%,0.02
6,1,1,2,petal length (cm) <= 4.94,0.9949553601342481,100.0%,100.0%,0.01
7,2,2,1,petal width (cm) > 1.665 and sepal width (cm) > 2.85 and sepal length (cm) > 5.903 and petal width (cm) > 1.577,0.9808268542948918,100.0%,90.0%,0.02
8,1,1,2,petal width (cm) <= 1.598,0.9865538524617387,100.0%,91.2%,0.02
9,1,1,2,petal width (cm) <= 1.601,0.996255391197505,100.0%,99.6%,0.01
10,2,2,1,sepal width (cm) > 2.645,0.992781179784178,100.0%,93.2%,0.01
11,0,0,1,sepal width (cm) <= 3.562,0.9974117015662867,100.0%,93.6%,0.02
12,0,0,1,petal length (cm) <= 2.439 and petal width (cm) <= 0.335 and sepal length (cm) <= 5.812,0.9969793698994008,100.0%,68.2%,0.01
13,0,0,1,petal width (cm) <= 0.866,0.9974117015662867,100.0%,90.2%,0.03
14,0,0,1,petal width (cm) <= 0.742 and petal length (cm) > 1.184,0.9974117015662867,100.0%,69.4%,0.02
15,1,1,2,petal length (cm) <= 4.962,0.995372953176811,100.0%,99.8%,0.02
16,2,2,1,sepal length (cm) > 5.6,0.9984748604817019,100.0%,94.6%,0.02
17,1,1,2,petal width (cm) <= 1.562 and petal length (cm) > 3.772,0.996255391197505,100.0%,99.4%,0.02
18,1,1,2,petal length (cm) <= 4.955,0.9946675049075638,100.0%,100.0%,0.04
19,2,2,1,sepal length (cm) > 5.243,0.9985239051522798,100.0%,97.2%,0.02
20,0,0,1,sepal length (cm) > 4.3,0.9974117015662867,100.0%,86.6%,0.03
21,2,2,1,sepal length (cm) <= 7.346,0.9899605168141397,100.0%,97.6%,0.03
22,0,0,1,petal width (cm) <= 1.056,0.9974117015662867,100.0%,90.2%,0.03
23,2,2,1,sepal width (cm) <= 3.38,0.9985239051522798,100.0%,91.8%,0.03
24,2,2,1,petal length (cm) > 5.162,0.9983668260151299,100.0%,68.2%,0.02
25,2,2,1,petal width (cm) > 1.709 and sepal width (cm) > 2.756 and petal length (cm) > 4.576 and petal width (cm) > 1.537,0.9984748604817019,100.0%,88.2%,0.02
26,2,2,1,petal length (cm) > 5.015 and sepal width (cm) <= 2.963,0.9981386887434988,100.0%,92.2%,0.02
27,2,2,1,petal width (cm) > 1.405 and petal length (cm) > 4.692,0.9981865531113004,100.0%,90.2%,0.02
28,0,0,1,sepal width (cm) > 2.541 and petal width (cm) <= 0.703,0.9974117015662867,100.0%,85.4%,0.02
29,0,0,1,petal width (cm) <= 1.43 and sepal length (cm) <= 5.511,0.9974117015662867,100.0%,89.2%,0.02
30,0,0,1,petal length (cm) <= 3.145,0.9974117015662867,100.0%,58.4%,0.02
31,0,0,1,petal length (cm) <= 2.049,0.9969793698994008,100.0%,55.0%,0.02
32,1,1,2,sepal width (cm) > 2.752 and petal width (cm) <= 1.569,0.9975793511402239,100.0%,98.0%,0.02
33,0,0,1,petal length (cm) <= 2.504 and petal width (cm) > -0.351,0.9974117015662867,100.0%,64.2%,0.02
34,0,0,1,sepal width (cm) <= 3.373,0.9974117015662867,100.0%,59.4%,0.02
35,2,2,1,sepal width (cm) > 2.401 and petal width (cm) > 1.478,0.9910049785447453,100.0%,93.8%,0.02
36,1,1,2,sepal length (cm) > 4.995,0.9952846907184782,100.0%,99.0%,0.02
37,0,0,1,petal length (cm) <= 2.374 and sepal width (cm) > 3.117 and petal length (cm) <= 2.442,0.9969793698994008,100.0%,92.2%,0.02
38,0,0,1,sepal length (cm) <= 5.812,0.9974117015662867,100.0%,64.4%,0.02
39,0,0,1,petal length (cm) > 1.461 and petal width (cm) <= 0.426,0.9969793698994008,100.0%,56.2%,0.02
40,2,2,1,sepal width (cm) <= 3.087,0.9904963711619158,100.0%,94.4%,0.03
41,1,1,2,sepal width (cm) > 2.988,0.995372953176811,100.0%,99.6%,0.02
42,1,1,2,petal width (cm) <= 2.424 and petal length (cm) > 3.815,0.9967209698624101,100.0%,98.4%,0.03
43,0,0,1,petal length (cm) <= 2.377,0.9969793698994008,100.0%,83.4%,0.02
44,0,0,1,petal width (cm) <= 0.926 and sepal length (cm) <= 5.474 and sepal width (cm) > 3.102 and sepal length (cm) <= 6.441,0.9969793698994008,67.3%,82.8%,0.03
